Image,Description,Reference Object,Reference Height (m),Actual Target Height (m),Estimated Height (m),Absolute Error (m),Error %
test.jpg,Person standing near door/building,Known Reference,1.7,2.45,4.337,1.887,77.03
sample_street_scene.jpg,Traffic pole and bus stop shelter,Known Reference,3.0,2.6,0.312,2.288,88.0
